scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.35308847,0.5065837,0.4964701,8
0.6903172,0.5184409,0.482707,7
0.2921536,0.5274484,0.48235044,8
0.19365609,0.5091058,0.48263568,3
0.15025042,0.4976089,0.48327747,2
0.8388982,0.500262,0.482707,6
0.45659432,0.50756633,0.4822078,5
0.45659432,0.50524074,0.484775,5
0.23038398,0.5249918,0.4822078,3
0.10267112,0.50501144,0.48227912,2
0.6227045,0.49921387,0.48299223,9
0.6702838,0.50121194,0.48263568,7
0.55926543,0.48797902,0.48327747,9
0.6385643,0.48067474,0.4822078,7
0.32470784,0.4968228,0.48277828,8
0.8631052,0.50147396,0.4822078,6
0.11352254,0.48905995,0.482707,2
0.62020034,0.50085163,0.4821365,9
0.3130217,0.50062233,0.48235044,8
0.16527545,0.5050442,0.48256436,2
0.31135225,0.50566655,0.48227912,8
0.47746244,0.50153947,0.48249304,0
0.8130217,0.5180151,0.4822078,1
0.39983305,0.48155913,0.48242173,5
0.5367279,0.51464134,0.4873422,0
0.71869785,0.52879137,0.4897668,7
0.384808,0.5,0.4822078,5
0.74373955,0.49773994,0.4822078,1
0.8572621,0.49832952,0.4829209,6
0.5033389,0.5132329,0.48620123,0
0.71118534,0.49718308,0.484775,7
0.6135225,0.5001965,0.48520288,9
0.80467445,0.5,0.48227912,1
0.74958265,0.5018998,0.4821365,1
0.39899832,0.4891582,0.48235044,5
0.85225374,0.5136259,0.48227912,6
0.33305508,0.49734688,0.482707,8
0.33305508,0.48237798,0.48370534,8
0.81886476,0.50301343,0.4822078,1
0.9449082,0.4940714,0.4822078,6
0.30050084,0.5128726,0.4829209,8
0.39899832,0.47710449,0.4822078,5
0.3614357,0.48912546,0.48242173,8
0.5166945,0.5027514,0.4828496,0
0.17612688,0.5208975,0.4853455,2
0.6702838,0.4891582,0.482707,7
0.5,0.499869,0.482707,0
0.6869783,0.4947265,0.4828496,7
0.7621035,0.51968557,0.4821365,1
0.6010017,0.4765804,0.4840619,9
0.73372287,0.47946283,0.48227912,1
0.884808,0.5133967,0.48235044,6
0.041736227,0.5473632,0.48306355,2
0.7170284,0.5,0.48206517,7
0.37562606,0.47009498,0.48349142,5
0.6535893,0.47995415,0.4829209,7
0.4732888,0.5,0.48206517,0
0.65191984,0.5027514,0.4822078,7
0.54173625,0.5047167,0.48235044,0
0.7537563,0.50507694,0.48235044,1
0.1460768,0.5086145,0.48249304,2
0.6360601,0.5221749,0.48235044,7
0.65108514,0.5195873,0.48206517,7
0.54257095,0.4988536,0.48313484,0
0.16110183,0.55106455,0.4822078,2
0.5308848,0.49852604,0.48249304,0
0.4724541,0.52201116,0.48227912,0
0.35225376,0.47985587,0.48277828,8
0.0884808,0.528038,0.4833488,2
0.29465777,0.5026531,0.4822078,8
0.4732888,0.4789715,0.48391926,0
0.35976627,0.50111365,0.48227912,8
0.35976627,0.48434326,0.48277828,8
0.4732888,0.5048149,0.4833488,0
0.5701169,0.51021945,0.48242173,9
0.40233722,0.50068784,0.4821365,5
0.5383973,0.49715033,0.48235044,0
0.47161937,0.5021618,0.48206517,0
0.19699499,0.50131017,0.48227912,3
0.3881469,0.47572878,0.482707,5
0.64190316,0.5163446,0.48256436,7
0.44407347,0.4677694,0.48235044,5
0.3614357,0.52184737,0.48306355,8
0.78714526,0.508549,0.4829209,1
0.72036725,0.48096955,0.48441845,7
0.8622705,0.5014412,0.4852742,6
0.37896493,0.4851294,0.48235044,5
0.57262105,0.50117916,0.4846324,9
0.48664442,0.48444152,0.48320615,0
0.22537562,0.5021618,0.4821365,3
0.32888147,0.4944317,0.482707,8
0.745409,0.5,0.4821365,1
0.49415693,0.49246642,0.48256436,0
0.45075125,0.4999345,0.48227912,5
0.45075125,0.47720274,0.4821365,5
0.5,0.50415987,0.4829209,0
0.5642738,0.5136587,0.48242173,9
0.5217028,0.5108418,0.48548812,0
0.5642738,0.5166066,0.48313484,9
0.59682804,0.505339,0.48263568,9
0.52838063,0.5026204,0.4821365,0
0.29883137,0.49954143,0.48256436,8
0.45492488,0.5003275,0.4822078,5
0.61936563,0.49410415,0.48370534,9
0.16193657,0.48368818,0.48256436,2
0.5459098,0.5015067,0.48313484,9
0.58096826,0.4997052,0.48277828,9
0.69532555,0.4856207,0.48263568,7
0.8447412,0.50589585,0.4829209,6
0.52504176,0.50301343,0.48256436,0
0.7687813,0.5005241,0.4822078,1
0.48247078,0.5406158,0.48441845,0
0.33305508,0.50868,0.48227912,8
0.24791318,0.50114644,0.48206517,3
0.8313857,0.50088435,0.4822078,6
0.8146911,0.5085162,0.4821365,1
0.078464106,0.5002293,0.4829209,2
0.71285474,0.51739275,0.4845611,7
0.8631052,0.5040288,0.48391926,6
0.34474123,0.49626598,0.48277828,8
0.44407347,0.47323942,0.48548812,5
0.8096828,0.49793646,0.49055123,1
0.61185306,0.5065509,0.4840619,9
0.7913189,0.5004258,0.4821365,1
0.7629382,0.48912546,0.48299223,1
0.68781304,0.5007206,0.48377666,7
0.8397329,0.5023911,0.4915496,6
0.52921534,0.49780545,0.4821365,0
0.73956597,0.49872255,0.48235044,1
0.62103504,0.5048149,0.48227912,9
0.5300501,0.48139533,0.48277828,0
0.515025,0.53740585,0.48249304,0
0.15275459,0.51853913,0.48320615,2
0.39315525,0.53508025,0.4821365,5
0.8747913,0.49256468,0.4822078,6
0.39232054,0.47952834,0.4822078,5
0.5,0.5044874,0.482707,0
0.5,0.5093678,0.48249304,0
0.88146913,0.49983624,0.4821365,6
0.5450751,0.47779232,0.48299223,9
0.29883137,0.49741238,0.48235044,8
0.61185306,0.49701932,0.4821365,9
0.70534223,0.5,0.48306355,7
0.47412354,0.5005241,0.48242173,0
0.76711184,0.50373405,0.4845611,1
0.68864775,0.5174255,0.48249304,7
0.4382304,0.49331805,0.4822078,5
0.5634391,0.51529646,0.48235044,9
0.6978297,0.5119882,0.48612994,7
0.44824708,0.49950868,0.4822078,5
0.70283806,0.48401573,0.4829209,7
0.33555928,0.48260728,0.48242173,8
0.47829717,0.51225024,0.48277828,0
0.6085142,0.5063872,0.48327747,9
0.5676127,0.49086145,0.48227912,9
0.89399,0.48679987,0.48227912,6
0.7929883,0.49737963,0.4821365,1
0.43656093,0.49941042,0.48320615,5
0.49499166,0.50163776,0.4822078,0
0.803005,0.5004913,0.48227912,1
0.83388984,0.50111365,0.48256436,6
0.42988315,0.5043564,0.48206517,5
0.85559267,0.5080249,0.48513156,6
0.6828047,0.5203734,0.4829209,7
0.7103506,0.5007206,0.48277828,7
0.76377296,0.5007861,0.48227912,1
0.09098498,0.50117916,0.48206517,2
0.46327212,0.5022273,0.48227912,0
0.64190316,0.4854569,0.48370534,7
0.36560935,0.52076644,0.482707,8
0.1869783,0.48863414,0.4834201,3
0.65108514,0.49931216,0.48242173,7
0.5926544,0.47910252,0.48227912,9
0.70200336,0.5026204,0.48256436,7
0.5141903,0.4997052,0.48427582,0
0.83472455,0.4950868,0.48242173,6
0.6911519,0.48031443,0.4821365,7
0.5166945,0.48824108,0.4822078,0
0.54924875,0.49950868,0.48327747,9
0.54924875,0.5,0.48235044,9
0.7011686,0.506944,0.48277828,7
0.2587646,0.49338356,0.48727092,3
0.6619366,0.49819848,0.48620123,7
0.64774626,0.510547,0.48277828,7
0.76544243,0.5023911,0.48277828,1
0.76544243,0.489453,0.48327747,1
0.76627713,0.48051098,0.48227912,1
0.31051752,0.5049132,0.48249304,8
0.81051755,0.49462822,0.48313484,1
0.28464106,0.48129708,0.4822078,8
0.5859766,0.5090075,0.48256436,9
0.58764607,0.493056,0.48235044,9
0.6235392,0.5064854,0.482707,9
0.8071786,0.4997052,0.48227912,1
0.6218698,0.50121194,0.48570207,9
0.8063439,0.49914837,0.48227912,1
0.7754591,0.5062889,0.48263568,1
0.27378964,0.5132984,0.48235044,3
0.82888144,0.5,0.48235044,6
0.045075126,0.49931216,0.4822078,2
0.4799666,0.49380937,0.48584467,0
0.52587646,0.50088435,0.48227912,0
0.6018364,0.5110056,0.48256436,9
0.7470785,0.49934492,0.4822078,1
0.6836394,0.47445136,0.48249304,7
0.61018366,0.5117589,0.482707,9
0.8639399,0.48241073,0.4821365,6
0.50500834,0.51536196,0.48370534,0
0.7863105,0.51962006,0.4834201,1
0.6861436,0.4856207,0.48320615,7
0.41402337,0.5058631,0.4828496,5
0.7136895,0.5022273,0.48541683,7
0.64440733,0.510547,0.4822078,7
0.14691152,0.4872912,0.4841332,2
0.71869785,0.51621354,0.48320615,7
0.38564274,0.50098264,0.48313484,5
0.66444075,0.49839503,0.48227912,7
0.3806344,0.52790695,0.4822078,5
0.12771286,0.48159188,0.4835627,2
0.6010017,0.44051751,0.4821365,9
0.42737895,0.5068457,0.48306355,5
0.754591,0.5040616,0.4829209,1
0.38731217,0.5,0.48227912,5
0.75792986,0.5005241,0.48249304,1
0.31469116,0.49872255,0.4841332,8
0.6360601,0.5024238,0.48741353,7
0.20951585,0.49171308,0.48242173,3
0.6978297,0.49590567,0.48263568,7
0.4732888,0.5004913,0.48320615,0
0.86560935,0.49433345,0.48242173,6
0.74373955,0.5093351,0.48242173,1
0.20534223,0.50815594,0.4822078,3
0.72621036,0.45162135,0.4821365,1
0.8196995,0.4997052,0.48227912,6
0.615192,0.49606943,0.48434713,9
0.23205343,0.5092041,0.48242173,3
0.71285474,0.49954143,0.48227912,7
0.76460767,0.4990501,0.48256436,1
0.4390651,0.5200786,0.4828496,5
0.3881469,0.47717,0.48299223,5
0.9148581,0.5,0.48227912,6
0.2178631,0.5049787,0.48242173,3
0.8672788,0.5164101,0.4822078,6
0.5075125,0.50068784,0.4821365,0
0.44657764,0.4918441,0.4835627,5
0.7237062,0.48146087,0.4828496,1
0.6602671,0.4798231,0.48235044,7
0.5759599,0.4862103,0.48812664,9
0.7278798,0.5040616,0.4822078,1
0.63439065,0.47425482,0.48235044,7
0.88313854,0.5,0.4822078,6
0.7103506,0.5001965,0.4822078,7
0.76460767,0.49937767,0.4821365,1
0.22287145,0.5094006,0.48277828,3
0.19532554,0.50409436,0.48313484,3
0.6285476,0.47720274,0.4821365,9
0.7679466,0.5000655,0.4822078,1
0.4390651,0.5267278,0.482707,5
0.5550918,0.4974779,0.48263568,9
0.4048414,0.5134622,0.48299223,5
0.3772955,0.51677036,0.48249304,5
0.68864775,0.4843105,0.4834201,7
0.39232054,0.50127745,0.48320615,5
0.5767947,0.5,0.48206517,9
0.54340565,0.5000983,0.4822078,0
0.7245409,0.52099574,0.4829209,1
0.55926543,0.5025221,0.482707,9
0.254591,0.5007861,0.48299223,3
0.9307179,0.48869964,0.48434713,6
0.13856427,0.5173272,0.482707,2
0.44156927,0.4978382,0.4828496,5
0.73372287,0.50170326,0.4834201,1
0.5066778,0.5038323,0.4822078,0
0.48414025,0.47720274,0.48227912,0
0.7312187,0.49384212,0.48277828,1
0.44407347,0.5,0.48249304,5
0.8989983,0.4986243,0.48263568,6
0.45075125,0.5294464,0.48227912,5
0.89732885,0.5041271,0.48235044,6
0.5692821,0.48571897,0.4829209,9
0.8714524,0.5,0.48263568,6
0.34808013,0.5147396,0.4822078,8
0.41986644,0.50494593,0.4829209,5
0.41986644,0.50409436,0.48256436,5
0.73956597,0.50088435,0.48242173,1
0.73956597,0.49950868,0.48277828,1
0.35308847,0.5271536,0.48384798,8
0.111853085,0.52142155,0.4846324,2
0.5701169,0.5220439,0.48570207,9
0.86644405,0.49014086,0.4833488,6
0.18948247,0.4816574,0.48235044,3
0.20868114,0.5043564,0.4822078,3
0.8088481,0.4989846,0.4822078,1
0.52921534,0.50088435,0.482707,0
0.65692824,0.5171307,0.48235044,7
0.47913188,0.51470685,0.48235044,0
0.85141903,0.52345234,0.48370534,6
0.4766277,0.5182116,0.48235044,0
0.34808013,0.49977073,0.4822078,8
0.8005008,0.5051425,0.48420453,1
0.45575958,0.5,0.4841332,5
0.1427379,0.49642974,0.4834201,2
0.19449082,0.522961,0.48242173,3
0.3472454,0.49816573,0.48313484,8
0.15943238,0.5001965,0.48263568,2
0.21953255,0.4900098,0.48320615,3
0.51168615,0.516017,0.48506024,0
0.87228715,0.5000983,0.4821365,6
0.36310518,0.49063218,0.48363402,8
0.5534224,0.50114644,0.48277828,9
0.89399,0.4931543,0.48235044,6
0.7896494,0.5,0.4822078,1
0.61435723,0.49168032,0.4822078,9
0.63355595,0.51916146,0.48256436,7
0.35559267,0.50088435,0.48206517,8
0.55592656,0.50632167,0.48299223,9
0.5450751,0.5248935,0.48227912,9
0.35308847,0.48942024,0.48249304,8
0.59766275,0.49272847,0.48277828,9
0.6385643,0.4845398,0.48227912,7
0.74207014,0.50619066,0.4821365,1
0.8096828,0.48450705,0.4835627,1
0.8547579,0.5135277,0.48263568,6
0.5475793,0.5128726,0.4841332,9
0.8171953,0.5004258,0.48227912,1
0.7245409,0.5080249,0.48242173,1
0.5175292,0.5175565,0.4822078,0
0.18447413,0.5219784,0.4829209,3
0.50584304,0.50111365,0.4822078,0
0.8205342,0.49757615,0.4859873,6
0.52003336,0.5168359,0.48990944,0
0.5233723,0.50357026,0.482707,0
0.875626,0.49217165,0.48235044,6
0.32136896,0.51506716,0.4821365,8
0.90317196,0.51002294,0.48327747,6
0.48414025,0.49836227,0.48235044,0
0.15191987,0.48935473,0.48484632,2
0.83555925,0.50494593,0.48299223,6
0.37479132,0.50101537,0.48206517,5
0.5008347,0.50583035,0.48249304,0
0.42404008,0.4709466,0.4822078,5
0.6869783,0.49597117,0.4845611,7
0.5926544,0.51074356,0.4835627,9
0.30050084,0.5176875,0.48206517,8
0.30050084,0.51627904,0.4834201,8
0.84223706,0.5,0.4821365,6
0.18864775,0.51644284,0.4840619,3
0.30467445,0.50127745,0.48320615,8
0.75792986,0.5168359,0.48313484,1
0.41318864,0.5222732,0.4822078,5
0.860601,0.5,0.48227912,6
0.5751252,0.50075334,0.4821365,9
0.8747913,0.50081885,0.48363402,6
0.26794657,0.50104815,0.4821365,3
0.83388984,0.51398623,0.48277828,6
0.7921536,0.51696694,0.4829209,1
0.47829717,0.5187029,0.48242173,0
0.91318864,0.5246315,0.48227912,6
0.8931553,0.5080249,0.48235044,6
0.44407347,0.5101867,0.48377666,5
0.38313857,0.48712742,0.4822078,5
0.7913189,0.48241073,0.48249304,1
0.28297162,0.4821487,0.4822078,8
0.8539232,0.49954143,0.48235044,6
0.20868114,0.4844743,0.48263568,3
0.13522537,0.5,0.48242173,2
0.8330551,0.50949883,0.48320615,6
0.46744573,0.5,0.48349142,0
0.8597663,0.531772,0.48206517,6
0.9140234,0.5,0.48235044,6
0.81886476,0.5,0.48242173,1
0.78797996,0.4979692,0.48242173,1
0.63522536,0.50140846,0.48299223,7
0.63522536,0.4979037,0.482707,7
0.32387313,0.5231903,0.4821365,8
0.36894825,0.50995743,0.48263568,8
0.52504176,0.4968228,0.4822078,0
0.52504176,0.4855552,0.48277828,0
0.5843072,0.5144448,0.48263568,9
