scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.39065108,0.5020963,0.4828496,5
0.46160266,0.5195218,0.48249304,0
0.8681135,0.5046512,0.4822078,6
0.4382304,0.48483458,0.4822078,5
0.4382304,0.48738945,0.48249304,5
0.7679466,0.5027186,0.4833488,1
0.5767947,0.5126433,0.48391926,9
0.60350585,0.50127745,0.4834201,9
0.27462438,0.4820177,0.48242173,3
0.89399,0.5004913,0.4822078,6
0.6460768,0.5,0.48227912,7
0.5467446,0.49249917,0.4834201,9
0.21368948,0.5071733,0.48427582,3
0.7704508,0.5051097,0.482707,1
0.44490817,0.4838847,0.48249304,5
0.36978298,0.51690143,0.48384798,8
0.71118534,0.5205372,0.48919633,7
0.2954925,0.5019653,0.48242173,8
0.6093489,0.50301343,0.48227912,9
0.90984976,0.51483786,0.4822078,6
0.31469116,0.55561745,0.4822078,8
0.54924875,0.4835244,0.48235044,9
0.37145242,0.5025876,0.4829209,8
0.29799667,0.53268915,0.48427582,8
0.33222038,0.5176875,0.48235044,8
0.91068447,0.49593842,0.4821365,6
0.31886476,0.50291514,0.48299223,8
0.6494157,0.42040616,0.4845611,7
0.5450751,0.49171308,0.4852742,9
0.12186978,0.50278413,0.4828496,2
0.076794654,0.4875205,0.48249304,2
0.48831385,0.5181461,0.4821365,0
0.48831385,0.5310514,0.4821365,0
0.5442404,0.5013757,0.48263568,0
0.64858097,0.5,0.48299223,7
0.9557596,0.4943662,0.48263568,6
0.83555925,0.4849001,0.48263568,6
0.28797996,0.51028496,0.48434713,8
0.5375626,0.50117916,0.48242173,0
0.8564274,0.499869,0.48227912,6
0.7245409,0.50068784,0.48249304,1
0.74290484,0.5086145,0.48256436,1
0.5409015,0.5086472,0.48235044,0
0.5166945,0.5000655,0.48235044,0
0.75792986,0.4953816,0.48235044,1
0.8614357,0.50117916,0.48206517,6
0.4382304,0.5132984,0.48242173,5
0.3948247,0.51267606,0.482707,5
0.7070117,0.5045529,0.48242173,7
0.6919866,0.51028496,0.48235044,7
0.4115192,0.5000655,0.48277828,5
0.59766275,0.4985588,0.48256436,9
0.81218696,0.49793646,0.48235044,1
0.6853089,0.51035047,0.482707,7
0.13188648,0.516017,0.48242173,2
0.5550918,0.49115625,0.48277828,9
0.8464107,0.5,0.48235044,6
0.28714523,0.4961677,0.48227912,8
0.8063439,0.5174255,0.4822078,1
0.25542572,0.5041926,0.48434713,3
0.32554257,0.50117916,0.48242173,8
0.3163606,0.50094986,0.48235044,8
0.9081803,0.4289879,0.4822078,6
0.42320535,0.48231247,0.48235044,5
0.76377296,0.45394695,0.48313484,1
0.63355595,0.522568,0.48235044,7
0.9232053,0.48797902,0.4822078,6
0.18864775,0.49859154,0.48242173,3
0.9140234,0.5022601,0.48235044,6
0.79465777,0.5157877,0.4846324,1
0.28380635,0.5,0.48306355,8
0.20283806,0.45987552,0.4822078,3
0.74958265,0.5108418,0.48384798,1
0.7537563,0.5179496,0.48256436,1
0.7554257,0.5005896,0.4822078,1
0.86560935,0.49996725,0.4821365,6
0.86560935,0.5,0.48249304,6
0.3263773,0.50127745,0.4822078,8
0.5,0.5232558,0.4822078,0
0.66444075,0.51454306,0.48563075,7
0.84140235,0.5111038,0.48256436,6
0.67445743,0.5130364,0.4835627,7
0.3839733,0.4988536,0.4829209,5
0.4382304,0.50170326,0.482707,5
0.8013356,0.45856535,0.48227912,1
0.44657764,0.50379956,0.48235044,5
0.40567613,0.49056664,0.48227912,5
0.2854758,0.5004258,0.48313484,8
0.39565945,0.52332133,0.48235044,5
0.43238732,0.5,0.48242173,5
0.7921536,0.4992794,0.4822078,1
0.8130217,0.47910252,0.48256436,1
0.5,0.5113331,0.4866291,0
0.6310518,0.4987881,0.4821365,9
0.745409,0.50868,0.4846324,1
0.44824708,0.5007206,0.48227912,5
0.45659432,0.5138552,0.48256436,5
0.8472454,0.50822145,0.4841332,6
0.54841405,0.5001638,0.48299223,9
0.418197,0.49780545,0.4821365,5
0.20283806,0.51012117,0.48299223,3
0.43405676,0.51005566,0.48299223,5
0.8981636,0.5133639,0.48263568,6
0.8873122,0.48535866,0.48227912,6
0.84974957,0.5048804,0.4845611,6
0.44073457,0.5,0.48235044,5
0.42320535,0.49705207,0.4833488,5
0.90400666,0.49839503,0.48677173,6
0.5133556,0.48044547,0.48427582,0
0.09348915,0.49983624,0.48249304,2
0.59599334,0.50114644,0.48277828,9
0.6986644,0.5004913,0.485916,7
0.59682804,0.43268916,0.4822078,9
0.6252087,0.48427776,0.48235044,9
0.8297162,0.5,0.48235044,6
0.20367278,0.50298065,0.48206517,3
0.8772955,0.5049132,0.48399058,6
0.67863107,0.50131017,0.4821365,7
0.7554257,0.4821487,0.4828496,1
0.3305509,0.4798231,0.48256436,8
0.7537563,0.5026204,0.49390286,1
0.39816362,0.50094986,0.4821365,5
0.7921536,0.50298065,0.4822078,1
0.8230384,0.5602031,0.48256436,6
0.8539232,0.5182116,0.4821365,6
0.11101837,0.5001965,0.4822078,2
0.73622704,0.5,0.48263568,1
0.7771286,0.50045854,0.4821365,1
0.6160267,0.515886,0.48427582,9
0.54841405,0.50324273,0.48263568,9
0.7679466,0.49924666,0.48235044,1
0.8297162,0.5021946,0.48227912,6
0.39816362,0.49941042,0.4829209,5
0.72537565,0.47844744,0.48235044,1
0.48414025,0.5112021,0.48263568,0
0.3772955,0.48227972,0.48299223,5
0.3772955,0.5,0.48242173,5
0.6402337,0.49246642,0.48256436,7
