scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.72036725,0.50962985,0.4835627,7
0.16444074,0.50088435,0.482707,2
0.64106846,0.49941042,0.49126434,7
0.3397329,0.5020963,0.48263568,8
0.44073457,0.5027186,0.484775,5
0.7161937,0.5239109,0.48541683,7
0.7161937,0.5013757,0.48399058,7
0.46160266,0.48152637,0.4834201,0
0.8005008,0.50068784,0.4822078,1
0.22370617,0.49934492,0.48399058,3
0.22370617,0.49344906,0.48242173,3
0.78046745,0.5022928,0.48399058,1
0.8146911,0.5014412,0.48235044,1
0.70951587,0.52807075,0.48448977,7
0.6828047,0.48853588,0.4828496,7
0.84891486,0.4872912,0.4821365,6
0.6844741,0.50127745,0.48227912,7
0.6218698,0.50524074,0.48256436,9
0.6385643,0.5132984,0.48513156,7
0.38898164,0.5026859,0.4821365,5
0.42070118,0.4852604,0.48235044,5
0.5859766,0.4943007,0.48235044,9
0.37312186,0.48198494,0.48641518,8
0.8080134,0.5069112,0.48256436,1
0.6552588,0.5001965,0.48277828,7
0.6552588,0.50062233,0.48277828,7
0.71202004,0.5224042,0.48277828,7
0.7387312,0.5023256,0.48313484,1
0.04006678,0.5227317,0.48235044,2
0.59599334,0.5021618,0.48306355,9
0.6135225,0.5,0.48506024,9
0.9048414,0.50081885,0.48299223,6
0.53589314,0.48542416,0.4821365,0
0.045909848,0.45371765,0.4828496,2
0.62020034,0.50117916,0.48242173,9
0.62771285,0.5025876,0.48277828,9
0.61435723,0.5,0.4822078,9
0.58764607,0.5021291,0.4822078,9
0.36727878,0.51326567,0.48227912,8
0.7621035,0.50114644,0.48206517,1
0.26293823,0.47641665,0.4864865,3
0.42904842,0.5,0.4822078,5
0.91068447,0.49842778,0.48320615,6
0.11519199,0.51932526,0.48926762,2
0.6076795,0.50108093,0.482707,9
0.6076795,0.50094986,0.4834201,9
0.7704508,0.50176877,0.4841332,1
0.7070117,0.4830986,0.48277828,7
0.7086811,0.52125776,0.48227912,7
0.53255427,0.5006551,0.48299223,0
0.53255427,0.5,0.48320615,0
0.21535893,0.49043563,0.48277828,3
0.8388982,0.5,0.4821365,6
0.82554257,0.50147396,0.4841332,6
0.7220367,0.50117916,0.48242173,1
0.3706177,0.50068784,0.48249304,8
0.754591,0.50045854,0.48299223,1
0.44073457,0.50307894,0.4828496,5
0.3063439,0.46826074,0.48299223,8
0.12771286,0.4958729,0.4822078,2
0.33305508,0.50114644,0.48206517,8
0.8614357,0.49577466,0.4821365,6
0.70283806,0.49656075,0.48420453,7
0.25626042,0.531379,0.48313484,3
0.6218698,0.50124466,0.48249304,9
0.7220367,0.50124466,0.4821365,1
0.5409015,0.51493615,0.48249304,0
0.84891486,0.4515231,0.4821365,6
0.73539233,0.5163118,0.4828496,1
0.62020034,0.49947593,0.48227912,9
0.2312187,0.50045854,0.4821365,3
0.66444075,0.5007206,0.4821365,7
0.4148581,0.5127088,0.48235044,5
0.4148581,0.5201441,0.48227912,5
0.5367279,0.499869,0.48227912,0
0.6368948,0.50114644,0.48206517,7
0.2888147,0.4898133,0.48748484,8
0.56677794,0.4986243,0.48227912,9
0.8505843,0.49911562,0.4822078,6
0.80383974,0.50117916,0.48206517,1
0.5,0.47274813,0.48235044,0
0.61101836,0.50104815,0.48249304,9
0.61101836,0.5067147,0.48299223,9
0.61101836,0.5,0.48227912,9
0.3472454,0.4803472,0.48263568,8
0.5158598,0.50625616,0.4828496,0
0.81803006,0.5,0.4821365,1
0.6318865,0.47802162,0.48242173,7
0.7587646,0.5022273,0.4822078,1
0.5,0.5201114,0.48242173,0
0.6844741,0.5177858,0.482707,7
0.696995,0.50045854,0.4833488,7
0.6010017,0.50131017,0.48249304,9
0.6260434,0.5020636,0.48313484,9
0.7988314,0.49452996,0.48235044,1
0.13439065,0.49901736,0.48612994,2
0.13689482,0.4979692,0.48327747,2
0.58096826,0.5,0.48249304,9
0.20116861,0.5022273,0.48313484,3
0.8681135,0.5027186,0.48227912,6
0.07929883,0.5005568,0.48227912,2
0.42988315,0.5025549,0.48235044,5
0.869783,0.50111365,0.48370534,6
0.58681136,0.4988536,0.4822078,9
0.5717863,0.51411724,0.48227912,9
0.4457429,0.50039303,0.48206517,5
0.590985,0.4799214,0.4821365,9
0.3839733,0.49109074,0.4834201,5
0.61853087,0.48218146,0.48256436,9
0.7913189,0.5096626,0.48434713,1
0.8781302,0.51454306,0.4821365,6
0.4490818,0.4974779,0.482707,5
0.5751252,0.5239109,0.48242173,9
0.4190317,0.4830331,0.48249304,5
0.3639399,0.5,0.4821365,8
0.8572621,0.49128726,0.48634386,6
0.6794658,0.48578447,0.48263568,7
0.39315525,0.48788077,0.4822078,5
0.79632723,0.5041926,0.48242173,1
0.42737895,0.49895185,0.4821365,5
0.8297162,0.5178185,0.48277828,6
0.5993322,0.50163776,0.48327747,9
0.5993322,0.47717,0.48235044,9
0.84307176,0.50501144,0.4822078,6
0.37312186,0.5137897,0.4866291,8
0.42988315,0.5200786,0.482707,5
0.6903172,0.5025876,0.48206517,7
0.16277128,0.50094986,0.4821365,2
0.046744574,0.51722896,0.48242173,2
0.22704507,0.5221422,0.48798403,3
0.65108514,0.5144448,0.48391926,7
0.37145242,0.50062233,0.48641518,8
0.52587646,0.49960694,0.48227912,0
0.6126878,0.50812316,0.48263568,9
0.83388984,0.50111365,0.48227912,6
0.31886476,0.49138552,0.48277828,8
0.2954925,0.5202751,0.48242173,8
0.6619366,0.50098264,0.4822078,7
0.778798,0.5448411,0.48349142,1
0.5859766,0.5142155,0.4821365,9
0.3806344,0.4841795,0.48206517,5
0.71869785,0.5153947,0.48256436,7
0.62103504,0.5,0.48399058,9
0.33889815,0.494792,0.48498896,8
0.19949916,0.49361283,0.4822078,3
0.86644405,0.5000328,0.4822078,6
0.6227045,0.50298065,0.48242173,9
0.59682804,0.5,0.48227912,9
0.8530885,0.50494593,0.482707,6
0.33222038,0.51896495,0.482707,8
0.5776294,0.5072715,0.48242173,9
0.5776294,0.5202751,0.4822078,9
0.6794658,0.5002948,0.4822078,7
0.30550918,0.5451687,0.4822078,8
0.3706177,0.5005568,0.4822078,8
0.509182,0.51932526,0.4829209,0
0.59599334,0.52358335,0.48242173,9
0.29131886,0.5,0.48277828,8
0.44991654,0.52145433,0.4829209,5
0.73455757,0.4955126,0.4829209,1
0.6126878,0.5004913,0.48235044,9
0.5066778,0.4919096,0.48249304,0
0.68948245,0.49872255,0.48299223,7
0.64858097,0.50104815,0.48206517,7
0.7287145,0.50740254,0.48256436,1
0.25375625,0.501605,0.48227912,3
0.8631052,0.5072715,0.4834201,6
0.8631052,0.5109401,0.48235044,6
0.5475793,0.49996725,0.48235044,9
0.47495827,0.49810022,0.48242173,0
0.442404,0.5,0.4828496,5
0.8305509,0.49780545,0.48256436,6
0.778798,0.48840484,0.48242173,1
0.48080134,0.50284964,0.48227912,0
0.6928214,0.5,0.48227912,7
0.25208682,0.52843106,0.48249304,3
0.50500834,0.5112676,0.4828496,0
0.5,0.5065837,0.48235044,0
0.58764607,0.51493615,0.4829209,9
0.6803005,0.5029479,0.48206517,7
0.9323873,0.4884376,0.48370534,6
0.3839733,0.4989846,0.4828496,5
0.57345575,0.48948574,0.48277828,9
0.47746244,0.50370127,0.48420453,0
0.29465777,0.49960694,0.48235044,8
0.62103504,0.50114644,0.48206517,9
0.5,0.5006551,0.48206517,0
0.53589314,0.4933508,0.48263568,0
0.778798,0.501867,0.48277828,1
0.79048413,0.5179168,0.48277828,1
0.860601,0.49069768,0.48327747,6
0.769616,0.50117916,0.48206517,1
0.11936561,0.51680315,0.4821365,2
0.53422374,0.49901736,0.48263568,0
0.34223706,0.4854569,0.48634386,8
0.52587646,0.4999345,0.4828496,0
0.6944908,0.47756305,0.48177993,7
0.2445743,0.4896823,0.48206517,3
0.3881469,0.50117916,0.48242173,5
0.08681135,0.5065837,0.48313484,2
0.35559267,0.506682,0.48263568,8
0.35559267,0.5094006,0.4821365,8
0.61185306,0.49960694,0.48242173,9
0.6777963,0.4919751,0.48256436,7
0.76544243,0.4856207,0.4822078,1
0.6853089,0.4843105,0.48377666,7
0.32053423,0.4999345,0.48235044,8
0.7479132,0.51729447,0.48227912,1
0.71953255,0.49603668,0.4876988,7
0.6736227,0.5013757,0.48235044,7
0.8747913,0.47612184,0.48377666,6
0.5375626,0.501736,0.482707,0
0.7537563,0.52341956,0.48242173,1
0.22036728,0.51955456,0.4833488,3
