scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.16110183,0.5,0.482707,2
0.79799664,0.50117916,0.48242173,1
0.8230384,0.47939733,0.4835627,6
0.36227044,0.45669833,0.48299223,8
0.48998332,0.5205044,0.48320615,0
0.33806345,0.5423518,0.48249304,8
0.47161937,0.49705207,0.48242173,0
0.86644405,0.47179824,0.48263568,6
0.8230384,0.4873567,0.48377666,6
0.43405676,0.5021946,0.48277828,5
0.91151917,0.47481167,0.48256436,6
0.4490818,0.47199476,0.48263568,5
0.037562605,0.50114644,0.48206517,2
0.6160267,0.5243367,0.48227912,9
0.42153588,0.49279398,0.4833488,5
0.45993322,0.50094986,0.4821365,0
0.4190317,0.5050442,0.48256436,5
0.35642737,0.5020308,0.48227912,8
0.050083473,0.49649525,0.48277828,2
0.4115192,0.51221746,0.48227912,5
0.06093489,0.5085162,0.4822078,2
0.5684474,0.49207336,0.4822078,9
0.40567613,0.51736,0.48227912,5
0.70617694,0.50357026,0.48377666,7
0.69532555,0.5005241,0.4821365,7
0.5534224,0.48774976,0.48313484,9
0.5993322,0.5024566,0.48249304,9
0.5008347,0.49325255,0.4845611,0
0.5008347,0.48132983,0.4829209,0
0.8464107,0.4997052,0.48327747,6
0.72036725,0.5094661,0.4822078,7
0.76460767,0.48673436,0.48520288,1
0.76460767,0.41392073,0.4821365,1
0.61686146,0.48558795,0.48235044,9
0.30717862,0.5,0.48235044,8
0.28130218,0.4909597,0.48235044,3
0.28130218,0.48467082,0.4822078,3
0.30550918,0.49931216,0.48242173,8
0.44657764,0.4789715,0.4828496,5
0.45325541,0.51424825,0.48235044,5
0.6602671,0.5,0.48249304,7
0.7629382,0.5043564,0.48235044,1
0.7629382,0.5182771,0.48277828,1
0.8739566,0.48096955,0.48235044,6
0.30217028,0.5075008,0.48299223,8
0.9590985,0.49947593,0.48399058,6
0.5717863,0.48601377,0.4821365,9
0.58347243,0.49243367,0.4821365,9
0.13689482,0.5070422,0.48327747,2
0.23288815,0.4841795,0.48235044,3
0.5141903,0.50094986,0.48235044,0
0.6469115,0.47910252,0.48249304,7
0.45409015,0.50114644,0.48206517,5
0.84974957,0.5150344,0.48242173,6
0.08096828,0.48277104,0.4822078,2
0.82888144,0.5069767,0.48227912,6
0.61101836,0.50386506,0.48263568,9
0.3948247,0.5226007,0.48377666,5
0.2929883,0.5158205,0.48249304,8
0.8464107,0.49787095,0.48448977,6
0.19866444,0.46331477,0.48263568,3
0.42320535,0.50114644,0.48242173,5
0.30717862,0.50131017,0.48584467,8
0.7587646,0.4989846,0.48263568,1
0.06093489,0.52132326,0.4821365,2
0.8547579,0.50111365,0.4821365,6
0.8138564,0.5176875,0.4829209,1
0.5534224,0.5,0.4822078,9
0.5851419,0.50291514,0.48242173,9
0.7838063,0.48136258,0.48235044,1
0.8530885,0.5119227,0.48277828,6
0.77295494,0.5001965,0.48227912,1
0.7863105,0.50045854,0.48256436,1
0.47829717,0.49708483,0.48277828,0
0.87312186,0.47556502,0.4829209,6
0.30717862,0.49931216,0.48249304,8
0.73455757,0.5143793,0.4822078,1
0.6469115,0.50153947,0.48256436,7
0.30133557,0.5021618,0.48206517,8
0.5,0.49642974,0.48327747,0
0.7161937,0.49374387,0.4821365,7
0.5,0.5,0.48227912,0
0.7929883,0.51948905,0.48235044,1
0.5692821,0.49954143,0.48227912,9
0.5692821,0.51188993,0.48227912,9
0.70200336,0.51005566,0.4822078,7
0.5317195,0.5063544,0.482707,0
0.869783,0.5,0.4822078,6
0.32470784,0.4822142,0.48235044,8
0.32470784,0.48218146,0.48377666,8
0.7462437,0.49128726,0.48249304,1
0.31469116,0.5204389,0.48227912,8
0.089315526,0.48021618,0.48235044,2
0.67195326,0.53734034,0.48227912,7
0.6010017,0.5018343,0.48306355,9
0.7771286,0.49361283,0.48249304,1
0.7821369,0.4989846,0.48235044,1
0.7988314,0.5016705,0.48263568,1
0.67278796,0.5004258,0.4821365,7
0.6702838,0.5,0.48227912,7
0.7512521,0.49285948,0.49568567,1
0.7512521,0.49983624,0.48227912,1
0.61686146,0.50612515,0.4841332,9
0.17529215,0.48935473,0.4822078,2
0.75709516,0.5246643,0.482707,1
0.5776294,0.5000328,0.48235044,9
0.5709516,0.49128726,0.48306355,9
0.2654424,0.47474614,0.482707,3
0.3639399,0.48840484,0.4828496,8
0.94991654,0.49983624,0.4834201,6
0.6126878,0.50088435,0.48249304,9
0.79465777,0.48630854,0.4829209,1
0.89565945,0.50085163,0.48377666,6
0.6068447,0.5165411,0.48448977,9
0.11268781,0.498264,0.4847037,2
0.884808,0.50114644,0.48206517,6
0.18447413,0.5174255,0.48256436,3
0.82470787,0.5000983,0.48256436,6
0.7771286,0.5117262,0.482707,1
0.515025,0.5022273,0.48206517,0
0.8681135,0.50124466,0.48227912,6
0.18196996,0.49931216,0.4822078,2
0.35559267,0.4933508,0.48520288,8
0.6293823,0.51238126,0.4828496,9
0.70951587,0.47802162,0.48242173,7
0.7913189,0.4614805,0.48206517,1
0.73539233,0.48434326,0.48227912,1
0.12604341,0.5025221,0.48242173,2
0.6160267,0.49737963,0.48349142,9
0.5,0.5013757,0.4822078,0
0.6235392,0.52171636,0.4822078,9
0.39816362,0.48031443,0.4833488,5
0.49081802,0.50792664,0.4822078,0
0.20951585,0.5158533,0.4828496,3
0.20951585,0.52345234,0.48249304,3
0.45492488,0.4803472,0.48256436,5
0.10851419,0.5139535,0.48227912,2
0.6769616,0.49810022,0.48227912,7
0.68864775,0.475303,0.4821365,7
0.6527546,0.5211595,0.48249304,7
0.5826377,0.51267606,0.48320615,9
0.26377296,0.5,0.4822078,3
0.73372287,0.5016705,0.4822078,1
0.7520868,0.5018015,0.482707,1
0.6936561,0.49518508,0.48448977,7
0.6936561,0.5,0.48227912,7
0.7529215,0.50789386,0.4821365,1
0.81803006,0.55738616,0.48227912,1
0.16110183,0.5406158,0.48242173,2
0.8205342,0.49177858,0.48256436,6
0.21202004,0.49944317,0.4822078,3
0.7237062,0.5219129,0.48227912,1
0.12103506,0.50117916,0.48227912,2
0.45492488,0.49613494,0.4821365,5
0.7070117,0.5069112,0.48448977,7
0.7161937,0.5175565,0.4822078,7
0.5,0.52787423,0.48235044,0
0.05509182,0.4705208,0.4828496,2
0.869783,0.5004258,0.48227912,6
0.26460767,0.5061579,0.4821365,3
0.26460767,0.50081885,0.48242173,3
0.42904842,0.48958403,0.48420453,5
0.6085142,0.50163776,0.4821365,9
0.70534223,0.5095316,0.48349142,7
0.4390651,0.48169014,0.48299223,5
0.79632723,0.5002948,0.48277828,1
0.5,0.5162463,0.4841332,0
0.62687814,0.49701932,0.48313484,9
0.62687814,0.51277435,0.48235044,9
0.769616,0.49701932,0.48420453,1
0.74373955,0.4986243,0.48227912,1
0.6702838,0.5090075,0.48370534,7
0.6702838,0.5134622,0.48277828,7
0.27462438,0.49059942,0.48320615,3
0.384808,0.5058631,0.48227912,5
0.7370618,0.5231903,0.4828496,1
0.327212,0.5080904,0.48227912,8
0.21452421,0.480642,0.4834201,3
0.4390651,0.5,0.48206517,5
0.8013356,0.542057,0.48242173,1
0.7529215,0.52400917,0.48584467,1
0.71869785,0.49918112,0.48990944,7
0.5450751,0.50121194,0.4822078,9
0.7762938,0.51159513,0.4822078,1
0.4691152,0.50108093,0.48227912,0
0.7378965,0.4841795,0.48299223,1
0.34223706,0.5020308,0.482707,8
0.44991654,0.49960694,0.4834201,5
0.66444075,0.5066164,0.4884119,7
0.721202,0.47929904,0.48242173,7
0.5,0.5200786,0.48235044,0
0.3572621,0.4921389,0.48249304,8
0.4148581,0.50792664,0.4852742,5
0.2762938,0.4976089,0.48227912,3
0.2854758,0.5292499,0.4822078,8
0.2854758,0.5254176,0.48242173,8
0.4457429,0.5,0.48242173,5
0.7921536,0.49957418,0.48448977,1
0.1427379,0.48928922,0.48506024,2
0.35559267,0.50776285,0.48263568,8
0.36811352,0.5013757,0.48256436,8
0.26794657,0.49977073,0.4821365,3
0.38731217,0.5021618,0.48227912,5
0.654424,0.5,0.48427582,7
0.25208682,0.50081885,0.48377666,3
0.7913189,0.50992465,0.4822078,1
0.312187,0.25660005,0.48235044,8
0.312187,0.27104488,0.4822078,8
0.46327212,0.5045856,0.482707,0
0.3639399,0.50507694,0.48263568,8
0.29716194,0.46049786,0.4822078,8
0.17111853,0.4798231,0.48235044,2
0.4006678,0.48277104,0.4847037,5
0.5826377,0.49911562,0.48206517,9
0.5826377,0.5,0.4822078,9
0.43238732,0.524566,0.48263568,5
0.34056762,0.5376679,0.4821365,8
0.15692821,0.5203406,0.48448977,2
0.33806345,0.50763184,0.48227912,8
0.26961604,0.5058631,0.48227912,3
0.8063439,0.49996725,0.4828496,1
0.8063439,0.50733703,0.48227912,1
0.8472454,0.498264,0.48227912,6
0.2721202,0.51699966,0.48227912,3
0.98914856,0.43953487,0.48177993,6
0.59348917,0.5006551,0.48206517,9
0.6552588,0.53914183,0.48227912,7
0.35308847,0.50619066,0.48242173,8
0.46494156,0.50949883,0.48363402,0
0.29883137,0.49200785,0.48242173,8
0.745409,0.492925,0.4841332,1
0.6527546,0.49967244,0.48391926,7
0.38564274,0.50799215,0.482707,5
0.53255427,0.5177858,0.48327747,0
0.39899832,0.53521127,0.48242173,5
0.5609349,0.50363576,0.4822078,9
0.56010014,0.49590567,0.4840619,9
0.73622704,0.51912874,0.48242173,1
0.42404008,0.48414674,0.4828496,5
0.42988315,0.50117916,0.48206517,5
0.67863107,0.5024566,0.48748484,7
0.1460768,0.51297086,0.482707,2
0.8672788,0.49944317,0.4822078,6
0.79716194,0.48755324,0.48235044,1
0.6293823,0.5028169,0.48227912,9
0.11435726,0.50117916,0.48242173,2
0.39565945,0.5018015,0.48691437,5
0.47746244,0.50088435,0.48242173,0
0.7479132,0.50619066,0.48235044,1
0.54173625,0.5041271,0.48941025,0
0.35475793,0.5020308,0.48263568,8
0.6285476,0.50117916,0.48206517,9
0.54841405,0.49914837,0.48227912,9
0.67195326,0.49829677,0.48313484,7
0.36727878,0.49194235,0.48306355,8
0.55676126,0.4976744,0.48384798,9
0.8096828,0.49308875,0.48327747,1
0.29799667,0.47880772,0.48249304,8
0.58096826,0.4908942,0.48306355,9
0.8914858,0.5115296,0.48399058,6
0.8439065,0.50091714,0.4828496,6
0.69532555,0.4940059,0.4828496,7
0.5617696,0.51709795,0.4821365,9
0.32554257,0.5002948,0.4822078,8
0.2445743,0.5044546,0.482707,3
0.41402337,0.49839503,0.48235044,5
0.38313857,0.49394038,0.48242173,5
0.5442404,0.50140846,0.48320615,0
0.13689482,0.4775958,0.48227912,2
0.78130215,0.50163776,0.48227912,1
0.7721202,0.50088435,0.4841332,1
0.57262105,0.5,0.48349142,9
0.26794657,0.48247626,0.48491764,3
0.6903172,0.51513267,0.4821365,7
0.3948247,0.49547985,0.4828496,5
0.47078463,0.43884704,0.48249304,0
0.44490817,0.5098264,0.4841332,5
0.34474123,0.5185064,0.48227912,8
0.70367277,0.51470685,0.4822078,7
0.14858097,0.48804456,0.48256436,2
0.57429045,0.50140846,0.4822078,9
0.5467446,0.49525058,0.48377666,9
0.7512521,0.49279398,0.4829209,1
0.72621036,0.48250902,0.482707,1
0.2996661,0.53111696,0.4821365,8
0.69616026,0.5031117,0.48427582,7
0.20200334,0.48912546,0.4833488,3
0.5475793,0.50337374,0.48227912,9
0.7136895,0.5031117,0.48206517,7
0.24373956,0.4797576,0.48242173,3
0.5943239,0.48588273,0.48263568,9
0.46410686,0.50104815,0.48349142,0
0.8739566,0.5094333,0.48263568,6
0.56510854,0.50710773,0.48327747,9
0.7170284,0.5,0.48320615,7
0.1293823,0.49944317,0.48227912,2
0.5,0.50517523,0.4822078,0
0.79632723,0.49105796,0.4822078,1
0.590985,0.50583035,0.4853455,9
0.7387312,0.46472323,0.4828496,1
0.88063437,0.49194235,0.48242173,6
0.77462435,0.5,0.48206517,1
0.58096826,0.51297086,0.48299223,9
0.22954924,0.510547,0.48277828,3
0.90400666,0.5024566,0.4833488,6
0.33639398,0.51490337,0.4829209,8
0.67195326,0.49921387,0.48235044,7
0.55843073,0.5109073,0.4829209,9
0.6010017,0.50094986,0.4822078,9
0.89565945,0.48594823,0.48605862,6
0.6627713,0.5206027,0.48420453,7
0.4390651,0.48883066,0.48306355,5
0.29131886,0.49800196,0.48249304,8
