scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.9056761,0.50111365,0.4835627,6
0.5609349,0.50094986,0.4840619,9
0.47161937,0.51434654,0.4828496,0
0.1903172,0.49973795,0.48577338,3
0.8764608,0.49921387,0.4821365,6
0.43739566,0.5,0.48227912,5
0.46494156,0.5,0.48427582,0
0.17779633,0.51513267,0.48235044,2
0.6694491,0.5013757,0.48377666,7
0.89565945,0.50301343,0.482707,6
0.7988314,0.5069767,0.48320615,1
0.43238732,0.4979692,0.4821365,5
0.3163606,0.50301343,0.4821365,8
0.7829716,0.5,0.48227912,1
0.5918197,0.5,0.48227912,9
0.20534223,0.51447755,0.482707,3
0.8330551,0.5004913,0.48227912,6
0.24123539,0.4898788,0.48349142,3
0.4348915,0.50569934,0.48206517,5
0.71869785,0.47664592,0.48235044,7
0.2345576,0.5192925,0.48812664,3
0.7587646,0.5047822,0.4834201,1
0.7086811,0.5,0.4853455,7
0.69616026,0.49705207,0.48242173,7
0.4833055,0.48958403,0.48227912,0
0.3814691,0.5093678,0.48762748,5
0.48998332,0.5018343,0.48227912,0
0.7954925,0.51663935,0.4822078,1
0.64106846,0.5050442,0.4845611,7
0.37479132,0.52859485,0.48242173,5
0.76377296,0.49145103,0.48242173,1
0.7821369,0.49459547,0.4822078,1
0.64440733,0.5019653,0.48377666,7
0.75041735,0.50039303,0.48235044,1
0.8914858,0.5151654,0.48277828,6
0.33889815,0.5097609,0.48235044,8
0.49749583,0.52178186,0.48263568,0
0.48247078,0.5109401,0.4829209,0
0.59015024,0.4817229,0.48256436,9
0.8472454,0.49911562,0.4822078,6
0.60434055,0.5297085,0.48299223,9
0.60434055,0.53275466,0.4841332,9
0.64190316,0.5188667,0.4821365,7
0.1360601,0.49836227,0.4822078,2
0.34891486,0.49043563,0.4822078,8
0.4691152,0.5,0.482707,0
0.8205342,0.4816574,0.48263568,6
0.7846411,0.48876515,0.48327747,1
0.2963272,0.4677039,0.4828496,8
0.778798,0.50812316,0.4835627,1
0.63355595,0.49973795,0.4828496,7
0.3814691,0.48604652,0.48320615,5
0.21202004,0.49656075,0.4822078,3
0.46661103,0.51467407,0.48263568,0
0.2762938,0.5,0.4822078,3
0.7086811,0.5,0.48384798,7
0.42737895,0.5048804,0.48227912,5
0.5717863,0.5150999,0.4822078,9
0.14691152,0.51536196,0.4828496,2
0.36227044,0.50117916,0.48206517,8
0.36727878,0.49511954,0.48277828,8
0.5709516,0.51025224,0.4822078,9
0.94073457,0.4942352,0.48256436,6
0.56677794,0.4768097,0.4822078,9
0.7629382,0.50039303,0.48227912,1
0.7537563,0.51480514,0.48306355,1
0.27128547,0.51159513,0.48506024,3
0.26460767,0.48355716,0.4822078,3
0.7996661,0.4990501,0.48434713,1
0.8155259,0.48440877,0.48434713,1
0.55008346,0.49924666,0.4822078,9
0.6560935,0.49272847,0.48256436,7
0.303005,0.47936457,0.48377666,8
0.5308848,0.48142812,0.48256436,0
0.57429045,0.5203079,0.4822078,9
0.6803005,0.49931216,0.482707,7
0.45325541,0.51208645,0.48249304,5
0.8772955,0.4887324,0.4833488,6
0.8322204,0.5098264,0.48277828,6
0.20200334,0.514019,0.48256436,3
0.15442404,0.5039633,0.4829209,2
0.7487479,0.5005896,0.48235044,1
0.2721202,0.50091714,0.48242173,3
0.67278796,0.5016705,0.48249304,7
0.67278796,0.49950868,0.48235044,7
0.49081802,0.493056,0.484775,0
0.75626045,0.4824435,0.48249304,1
0.19532554,0.5187029,0.4828496,3
0.88898164,0.49426794,0.48235044,6
0.5,0.48001966,0.48391926,0
0.25041735,0.5195218,0.4828496,3
0.6001669,0.5069112,0.48242173,9
0.5534224,0.5201441,0.4822078,9
0.08263773,0.5,0.482707,2
0.7754591,0.5062889,0.48299223,1
0.7754591,0.5000328,0.48420453,1
0.7754591,0.48211595,0.48242173,1
