scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.0884808,0.4953816,0.48249304,2
0.11101837,0.4853259,0.48263568,2
0.50584304,0.49564362,0.48235044,0
0.81218696,0.5314772,0.48363402,1
0.48247078,0.5187029,0.48363402,0
0.8672788,0.4765149,0.4821365,6
0.76711184,0.5021946,0.4822078,1
0.7153589,0.49528334,0.4822078,7
0.51919866,0.46783492,0.48777008,0
0.61936563,0.4809368,0.48235044,9
0.7595993,0.5005241,0.48299223,1
0.3196995,0.4996397,0.48256436,8
0.5943239,0.52106124,0.48227912,9
0.42988315,0.52106124,0.4822078,5
0.8397329,0.47451687,0.4834201,6
0.68196994,0.50094986,0.4821365,7
0.21619366,0.5201441,0.48327747,3
0.5100167,0.5185064,0.48256436,0
0.254591,0.5200131,0.48306355,3
0.79382306,0.49403864,0.48249304,1
0.91068447,0.5004258,0.4821365,6
0.35559267,0.5296102,0.48235044,8
0.8614357,0.49996725,0.4822078,6
0.39232054,0.5016705,0.48235044,5
0.6903172,0.50121194,0.48277828,7
0.730384,0.5004258,0.4821365,1
0.13188648,0.5023256,0.48277828,2
0.30217028,0.50039303,0.4822078,8
0.6560935,0.50088435,0.4821365,7
0.78881466,0.4787422,0.48299223,1
0.63522536,0.484245,0.4834201,7
0.65859765,0.4990501,0.4822078,7
0.5634391,0.4834589,0.48249304,9
0.5984975,0.5071405,0.48256436,9
0.4691152,0.5181461,0.48242173,0
0.533389,0.5180806,0.4822078,0
0.46327212,0.50088435,0.48206517,0
0.22370617,0.49924666,0.48320615,3
0.55843073,0.5013757,0.48263568,9
0.5851419,0.50153947,0.48227912,9
0.6928214,0.5,0.4822078,7
0.51836395,0.5171307,0.4821365,0
0.12604341,0.48234522,0.4828496,2
0.12186978,0.5138552,0.4822078,2
0.70283806,0.517622,0.48306355,7
0.10100167,0.5,0.48227912,2
0.5033389,0.5004913,0.48242173,0
0.5317195,0.50091714,0.4821365,0
0.5517529,0.5,0.4828496,9
0.2579299,0.46514904,0.48363402,3
0.49499166,0.5201114,0.48299223,0
0.74207014,0.50386506,0.48227912,1
0.45575958,0.5161808,0.48263568,5
0.5525876,0.51916146,0.4822078,9
0.81218696,0.50157225,0.48227912,1
0.533389,0.50386506,0.4829209,0
0.36227044,0.49718308,0.48299223,8
0.47495827,0.4986243,0.4821365,0
0.35559267,0.4997052,0.48227912,8
0.32220367,0.5566328,0.4821365,8
0.5684474,0.4954471,0.48249304,9
0.7621035,0.51670486,0.484775,1
0.56510854,0.49960694,0.4822078,9
0.22954924,0.52322304,0.48249304,3
0.67111856,0.5044546,0.4821365,7
0.5984975,0.49990174,0.4835627,9
0.860601,0.4786767,0.48620123,6
0.19866444,0.52112675,0.48377666,3
0.26293823,0.5,0.48206517,3
0.6093489,0.48470357,0.4828496,9
0.5450751,0.49177858,0.48242173,9
0.5066778,0.5,0.4822078,0
0.07095159,0.48686537,0.4829209,2
0.5,0.5244022,0.48235044,0
0.2762938,0.49977073,0.4821365,3
0.18948247,0.51942354,0.4828496,3
0.7070117,0.50579756,0.48420453,7
0.4390651,0.5001965,0.4821365,5
0.360601,0.533508,0.4833488,8
0.4924875,0.50759906,0.48727092,0
0.33305508,0.4958074,0.48227912,8
0.35308847,0.5026531,0.4822078,8
0.32220367,0.4997052,0.4846324,8
0.4348915,0.47828364,0.48206517,5
0.42070118,0.4988536,0.4822078,5
0.22036728,0.51667213,0.4829209,3
0.73622704,0.4997052,0.48363402,1
0.47078463,0.4856207,0.48227912,0
0.70200336,0.5022273,0.48256436,7
0.7829716,0.51621354,0.48370534,1
0.92070115,0.51211923,0.48349142,6
0.84891486,0.5025549,0.4840619,6
0.76627713,0.5024238,0.48306355,1
0.46410686,0.47775957,0.4834201,0
0.6903172,0.4990501,0.48256436,7
0.38564274,0.5043564,0.48484632,5
0.1327212,0.5162463,0.48227912,2
0.61435723,0.49832952,0.4835627,9
0.61435723,0.48738945,0.48263568,9
0.5133556,0.50088435,0.48206517,0
0.23539232,0.52361614,0.48235044,3
0.8505843,0.50507694,0.48363402,6
0.80383974,0.54153293,0.4821365,1
0.15692821,0.49004257,0.48235044,2
0.1803005,0.4841795,0.48249304,2
0.3297162,0.5035375,0.4828496,8
0.8864775,0.5183426,0.48235044,6
0.6285476,0.50153947,0.48235044,9
0.88898164,0.5020636,0.4833488,6
0.8839733,0.50560105,0.48399058,6
0.4590985,0.47959384,0.4833488,5
