scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.83472455,0.4986243,0.48263568,6
0.58931553,0.5004258,0.48227912,9
0.8689482,0.5,0.48206517,6
0.8238731,0.4574517,0.48263568,6
0.77295494,0.5075008,0.48242173,1
0.7821369,0.514019,0.48441845,1
0.78046745,0.50131017,0.48299223,1
0.7412354,0.48368818,0.48399058,1
0.73288816,0.5,0.4822078,1
0.8021703,0.47648215,0.48227912,1
0.55926543,0.50124466,0.48235044,9
0.55926543,0.5043236,0.48306355,9
0.28046745,0.5114314,0.48249304,3
0.2996661,0.4996397,0.48299223,8
0.5400668,0.50776285,0.48306355,0
0.42404008,0.4933508,0.4829209,5
0.66527545,0.5,0.4821365,7
0.48664442,0.5063872,0.4821365,0
0.360601,0.47923353,0.48370534,8
0.5409015,0.4989846,0.4821365,0
0.721202,0.5042254,0.48349142,7
0.6694491,0.5,0.4821365,7
0.49415693,0.50147396,0.48306355,0
0.5133556,0.5020636,0.4822078,0
0.60434055,0.48237798,0.48235044,9
0.61185306,0.51234853,0.4821365,9
0.5400668,0.5020308,0.4835627,0
0.65776294,0.5111693,0.48313484,7
0.50500834,0.50117916,0.48242173,0
0.67278796,0.51002294,0.4835627,7
0.5,0.52151984,0.4821365,0
0.7011686,0.5004258,0.48299223,7
0.25292152,0.49957418,0.48263568,3
0.8948247,0.5154602,0.48206517,6
0.5,0.5267278,0.4822078,0
0.7103506,0.49977073,0.4834201,7
0.46076795,0.49996725,0.48256436,0
0.37896493,0.50140846,0.48263568,5
0.56510854,0.5,0.4821365,9
0.590985,0.50792664,0.4859873,9
0.778798,0.4830331,0.48206517,1
0.36978298,0.49895185,0.48256436,8
0.77378964,0.5004913,0.48506024,1
0.86644405,0.49937767,0.4821365,6
0.4490818,0.5018998,0.4821365,5
0.41235393,0.5042254,0.48256436,5
0.54340565,0.5004258,0.48227912,0
0.45993322,0.47857845,0.48306355,0
0.76711184,0.5031117,0.48263568,1
0.7287145,0.5160825,0.4822078,1
0.54173625,0.47811988,0.48235044,0
0.6360601,0.50284964,0.4821365,7
0.6360601,0.5065509,0.48227912,7
0.41652754,0.5025876,0.48242173,5
0.24624375,0.49947593,0.48235044,3
0.48580968,0.4989191,0.48384798,0
0.12186978,0.48096955,0.48256436,2
0.4933222,0.5013757,0.48441845,0
0.4282137,0.50304615,0.4822078,5
0.19616027,0.5248935,0.4821365,3
0.8071786,0.5001965,0.4822078,1
0.7178631,0.51238126,0.4828496,7
0.7178631,0.51241404,0.48235044,7
0.52003336,0.48820832,0.48227912,0
0.3305509,0.4996397,0.48235044,8
0.5550918,0.5172617,0.48641518,9
0.6402337,0.5006551,0.4822078,7
0.7954925,0.5025221,0.48399058,1
